facility_uid,facility_code,state_unique_id,registration_no,start_date,facility_name,state,lga,ownership,ownership_type,facility_level,facility_level_option,physical_location,longitude,latitude,phone_number,email_address,website,ooperational_days,operational_hours,operation_status,registration_status,license_status,doctors,nurses,midwives,beds
80710017,24/01/1/2/2/0004,2401120081,,2017-01-01,Krisopath Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 64, SURULERE STREET ,DOPEMU AGEGE",3.31236,6.61194,0703-037-0167,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,
63533294,24/01/1/2/2/0015,2401120082,,1998-12-12,Mobonoke Hospital And Maternty Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 33,SURULERE STREET ,BAALE B/STOP DOPEMU",3.31416,6.61294,0806-015-4111,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,5,2,1,20
41342594,24/01/1/1/2/0021,,,,Olaotan Nursing Home,Lagos,Agege,Private,,Primary,,,3.31341000000003,6.62454000000002,,,,,,Operational,Unknown,Unknown,,,,
68217197,24/01/1/1/2/0025,2401220007,,1995-02-01,Promise Medical Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO132,Dopemu Road Dopemu Lagos",3.31011,6.61544,0803-303-3281,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,8,6,3,25
31895196,24/01/1/1/2/0029,2401120085,,2016-02-06,Sikiratullah Medical Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO8,ENILOBO STREET DOPEMU",3.31011,6.61255,0814-375-6336,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,5
82680028,24/01/1/2/2/0003,24010220017,,1989-01-01,Beta Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 9/11, COKER STREET ,ORILE AGEGE LAGOS",3.30871,6.62664,0803-310-5494,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,4,2,,18
15800007,24/01/1/1/1/0073,,,2023-02-14,Claudia Ibijoke Sanwo Olu Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"Omotoye lane, omotoye estate Orile Agege",3.30747,6.62712,0802-331-3889,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8hrs,Operational,Registered,Licensed,1,,1,6
49296852,24/01/1/1/2/0007,2401120017,,1996-01-01,Country Home Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO19,OLD OTTA ROAD AGEGE",3.30925,6.63049,0802-337-0282,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,4
56016246,24/01/1/1/2/0012,2401120022,,2001-11-03,Happy Home Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 15,FISHER STREET AGEGE LAGOS",3.3198,6.60945,0803-429-2899,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,,3
71663984,24/01/1/2/2/0023,,,1989-02-02,Omotoye Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,23/24 OMOTOYE ESTATE LAGOS,3.30757,6.62801,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Operational,Unknown,Unknown,,,,
17065216,24/01/1/1/1/0002,,,,Dopemu Primary Health Centre,Lagos,Agege,Public,,Primary,,,3.31394000000006,6.61193000000003,8033136784,,,,,Operational,Unknown,Unknown,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
25366892,24/01/1/1/1/0003,2401110024,,1980-01-01,Iloro Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"NO5,OLUFESO STREET ILORO AGEGE",3.32294,6.61131,0802-245-5913,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HRS,Operational,Registered,Licensed,,,,9
55470431,24/01/1/2/2/0018,2401120085,,2000-01-01,Olive Medicare Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO6,GHOLOUS CLOSE DOPEMU",3.31199,6.60892,0803-344-7126,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,,6
47293825,24/01/1/1/2/0024,2401120021,,2008-02-04,Prime Health Gate Medicare,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 9, Capitol Road Agege",3.32698,6.61432,0802-313-9027,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,2,7
39041091,24/01/1/1/2/0072,,,2020-05-31,Sekeenah Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Center,3 olaoshe close off sebiotimo street Agege,3.32787,6.61025,0803-316-2543,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,Licensed,1,2,1,5
49985730,24/01/1/2/2/0025,240120018,,1988-12-01,St Sabina Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO2,IDIMANGORO STREET AGEGE",3.32912,6.61066,0806-726-6793,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,4,3,22
77727175,24/01/1/2/2/0026,2401120019,,1992-01-01,St Victoria Maternity Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 97,CAPITOL ROAD AGEGE LAGOS",3.321107,6.61731,0805-514-1765,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,2,10
52675596,24/01/1/2/2/0071,,3307535,2020-01-05,GREENWOOD HOSPITAL,Lagos,Agege,Private,For Profit,Secondary,,"1, ODUNLAMI ST, OFF OSHINDEHIN, AGEGE",3.33557,6.62063,0903-770-1097,greenwood.hospital@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,3,1,10
58886840,24/01/1/2/2/0009,LAGOS,,2011-01-01,J.A Lashman Hospital,Lagos,Agege,Private,For Profit,Secondary,,"NO10,ADEOSUN STREET AGEGE",3.33434,6.62206,0814-128-9129,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,1,,8
54468532,24/01/1/1/1/0008,2401110029,,1950-01-01,Sango Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Center,"NO 1,Balogun Street Agege",3.32518,6.62579,0802-316-7734,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,2,1,13
45371375,24/01/1/1/2/0031,2401110084,,1994-01-01,"The Apostolic Church , Agege Area Medical Centre",Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO39,IJAIYE ROAD AGEGE",3.3324023,6.6247472,0806-262-5164,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,6,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,
44526288,24/01/1/1/2/0013,2401110062,,2015-01-01,Kwa Kwa Uku Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"NO 3,AKERELE STREET AGEGE",3.32358,6.62098,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HRS,Operational,Registered,Licensed,,,,4
57431672,24/01/1/1/2/0002,2401120034,,1992-06-06,Adeoti  Group Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,NO 106.IPAJA ROAD SOFUNDE BUS STOP AGEGE,3.31736,6.62489,0802-319-9846,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,,6
28691333,24/01/1/2/2/0029,24010220088,,2017-04-07,Adewunmi Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO12,OLURINDE STREET AGEGE LAGOS",3.31291,6.62963,0903-264-4728,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,,6
45884600,24/01/1/1/2/0004,24010220035,,1983-01-01,All Souls Infimary Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO8,CHURCH STREET AGEGE LAGOS",3.32102,6.62816,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,,8
60017996,24/01/1/1/2/0016,2401220036,,2004-01-11,Methodist Church Clinic,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"N0 8,ORILE ROAD TABON TABON AGEGE LAGOS",3.319600,6.631400,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,3
32925525,24/01/1/1/2/0023,,R78.776,1987-06-11,Omoyeni Health Clinic,Lagos,Agege,Private,For Profit,Primary,,"No 18 Adejobi Street Oke Koto ,Agege Lagos",3.31974,6.6278,08023305954,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,2
53799971,24/01/1/2/2/0027,,,2012-01-01,Today Medicare Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO37,OWOLABI OMOTOYE STREET,OFF IYANA IPAJA ORILE AGEGE",3.31207,6.62641,0809-621-8363,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,8
71805659,24/01/1/2/2/0019,2401120040,,1992-01-01,Olu-Adebo Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"N0 96A,Oko Oba Road Agege",3.31282,6.64022,0802-310-4774,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,,,6
70566198,24/01/1/2/1/0001,,,,Orile Agege General Hospital,Lagos,Agege,Public,,Secondary,,,3.32634000000007,6.62064000000004,,,,,,Operational,Unknown,Unknown,,,,
59616342,24/01/1/1/1/0006,24010110037,,1979-02-01,Powerline Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"3,POWERLINE STREET OKO OBA ORILE AGEGE",3.31021,6.63306,0802-837-4034,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HRS,Operational,Registered,Licensed,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,
68252201,24/01/1/2/2/0022,24010120038,,1999-01-01,Rambola Abiola Memorial Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 4B,POWERLINE STREET AGEGE LAGOS",3.31645,6.63403,0802-314-0168,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,2,,6
36964560,24/01/1/1/2/0030,,,2011-01-01,Soretire Primary Health Care Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Clinic,"N019,Azeez Olaosebikan Street  Agege Lagos",3.30656,6.63638,0802-882-3230,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",08;00AM -4P,Operational,Registered,Licensed,,,,12
82683771,24/01/1/1/2/0070,,,2021-01-01,ST GLORIOUS FAVOUR HOSPITAL,Lagos,Agege,Private,For Profit,Primary,Primary Health Center,"1,ADAMO KABIAWU STREET, ORILE AGEGE",3.30535,6.63459,0803-568-5403,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,1,5
82621925,24/01/1/1/2/0033,2401120039,,2009-01-01,Tobi Convalescent Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO23,Bade Abiona Street,Orile Agege Lagos",3.31303,6.63063,0803-474-0169,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,2,,4
40663925,24/01/1/2/2/0005,24010120047,,1999-12-02,Biobatam Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 53, TIJANI STREET IYANA IPAJA AGEGE LAGOS",3.30488,6.62064,0802-333-2993,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,1,8
63899727,24/01/1/2/2/0034,2401120074,,2003-01-01,Divine Favour Maternity Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO27,KAREEMOYELADE STREETOYEWOLE AGEGE",3.30717,6.61969,0806-125-7374,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,4
85086046,24/01/1/1/2/0009,,,,Divine Hills Maternity Centre,Lagos,Agege,Private,,Primary,,,3.31184000000007,6.61512000000005,,,,,,Operational,Unknown,Unknown,,,,
40580114,24/01/1/1/1/0004,24010110048,,2011-08-07,Odunbaku Primary Health Centre,Lagos,Agege,Public,Local Government,Primary,Primary Health Center,"NO36,OPEOLU STREET ,MULERO BUSTOP ORILE AGEGE",3.30799,6.62285,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,5,1,,5
73227888,24/01/1/2/2/0020,2401120049,,2001-02-01,Popoola Abati Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO7,OYEWOLE STREET,ORILE AGEGE LAGOS",3.30332,6.62201,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,4
54432984,24/01/1/2/2/0028,24010220045,301258,1996-05-10,Veta Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO134,VETA CLOSE, ARAROMI EXPRESS ROAD AGEGE LAGOS",3.30474,6.61468,0701-758-5852,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,4,3,3,13
,,,,,,,,,,,,,,,,,,,,,,,,,,
26245049,24/01/1/1/2/0005,,,1997-01-07,Alpha Convalescent Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO22,ABIBATU STREET PAPA ASHAFA AGEGE",3.31049,6.62135,0803-344-7049,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,1,3
32764277,24/01/1/1/2/0015,,,2012-01-04,Mercy & Glory Convalescent Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 49,ABIODUN SADIKU STREET DOPEMU AGEGE",3.30876,6.61368,0803-395-8718,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,3,,4
16881499,24/01/1/2/2/0014,2401120056,,2000-01-01,Meritland Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 48,BALOGUN ILAWE STREET,DOPEMU AGEGE",3.31362,6.61369,0802-337-0451,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,,4
18545103,24/01/1/1/1/0068,,,1989-01-01,Mucas Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 19,OGUN STREET ADEALU BUS STOP IYANA IPAJA AGEGE",3.31245,6.634241,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,6,4,2,15
48570771,24/01/1/1/2/0020,24010120055,,2005-01-01,New Alpha Medical Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO26,OSUNDAIRO STREET AGEGE",3.30502,6.61696,0802-313-8903,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,2,7
17633757,24/01/1/1/2/0022,,,2012-01-01,Oluwabamise Convalescent Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO47,ABARI STREET OFF OYEWOLE AGEGE",3.30920,6.62267,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,,,3
37099956,24/01/1/1/1/0005,24010110050,,2008-01-01,Papa Ashafa Health Post,Lagos,Agege,Public,Local Government,Primary,Health Post,"NO 19,SURA OGUNMAKUN STREET AGEGE LAGOS",3.30848,6.62224,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8AM TO 4PM,Operational,Registered,Licensed,,,,2
52400613,24/01/1/1/2/0028,2401120054,,1990-01-01,Sar-Victory Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO37,ALOWONLE STREET DOPEMU AGEGE LAGOS",3.31491,6.61894,0803-425-6587,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,1,8
81768733,24/01/1/1/2/0032,2401120033,,2001-01-01,The Grace Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 51,Kolawole StreetPapa Ashafa  Orile Agege LagosE",3.30866,6.61714,0802-342-3251,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,2,4
65270528,24/01/1/2/2/0006,2401120071,,1997-01-10,Dunia Hospital,Lagos,Agege,Private,For Profit,Primary,,"NO 110,OKO OBA ROAD EGBATEDO BUS STOP ORILE AGEGE",3.31261,6.63660,0803-301-3282,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,3,2,10
,,,,,,,,,,,,,,,,,,,,,,,,,,
81930847,24/01/1/2/2/0016,24010120073,,1999-01-01,Molayo Medical Centre,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO20,AKINYELE STREET AGEGE LAGOS",3.31293,6.63308,0703-522-0605,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,1,1,4
56797092,24/03/1/2/2/0068,,,2000-01-01,New Merit Hospital Limited,Lagos,Agege,Private,For Profit,Secondary,,,3.25394000000006,6.67002000000002,,,,,,Operational,Unknown,Unknown,,,,
31976022,24/01/1/1/2/0001,2401220070,,1989-11-11,Adams Clinic and Maternity Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO34,ADEYEMI STREET AGEGE LAGOS",3.32792,6.62071,0818-849-8371,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,3,3,,9
70684107,24/01/1/1/1/0001,2401110063,,2015-01-01,Ajegunle Health Post,Lagos,Agege,Public,Local Government,Primary,Health Post,"NO 32, AJIGBOTINU STREET PERO BUS STOP AGEGE",3.33097,6.61711,,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8AM TO 4PM,Operational,Registered,Licensed,,,,2
69432396,24/01/1/1/2/0026,2401120065,,2019-08-01,His Able Hospital,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO24,ABOLORE STREET AGEGE LAGOS",3.32926,6.61611,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,2,2,,8
66793668,24/01/1/1/2/0027,,,2001-01-01,Salam-Salam Nursing Home,Lagos,Agege,Private,For Profit,Primary,Primary Health Clinic,"NO 40, AKINDIYA STREET SANGO AGEGE",3.32652,6.62444,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,1,3
51903169,24/02/1/2/2/0008,,,,Bleseed Redeemer Hospital,Lagos,Ajeromi/Ifelodun,Private,,Secondary,,,3.34808349600007,6.45550537100007,,,,,,Operational,Unknown,Unknown,,,,
77037753,24/02/1/1/2/0005,,,,City Of Hope Medical Centre,Lagos,Ajeromi/Ifelodun,Private,,Primary,,,3.34549000000004,6.45998000000003,,,,,,Operational,Unknown,Unknown,,,,
30627331,24/02/1/2/2/0017,,,,Emmanuel P Maternity Home,Lagos,Ajeromi/Ifelodun,Private,,Secondary,,,,,,,,,,Operational,Unknown,Unknown,,,,
23718708,24/02/1/1/2/0087,,,2009-01-01,Opeyemi Maternity Centre,Lagos,Ajeromi/Ifelodun,Private,For Profit,Primary,Primary Health Center,"2 Agugu Street, Ajegunle Boundary",3.34587,6.46085,0805-546-2884,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,Licensed,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
77421460,24/02/1/1/1/0001,,,2011-03-02,Ajeromi Health Post,Lagos,Ajeromi/Ifelodun,Public,Local Government,Primary,Health Post,,3.34405,6.45685,0080-382-2922,,,"Monday,Tuesday,Wednesday,Thursday,Friday",8HRS,Operational,Unknown,Unknown,,,,
16516206,24/02/1/1/1/0013,,,,Primary Health Centre Ajegunle,Lagos,Ajeromi/Ifelodun,Public,,Primary,,,,,,,,,,Operational,Unknown,Unknown,,,,
81087573,24/02/1/2/2/0002,,,,Adebambo Hospital,Lagos,Ajeromi/Ifelodun,Private,,Secondary,,,3.34373000000005,6.46945000000005,,,,,,Operational,Unknown,Unknown,,,,
55396271,24/02/1/2/1/0089,,,2022-01-01,Asiwaju Bola Ahmed Tinubi Comprehensive Health Centre,Lagos,Ajeromi/Ifelodun,Public,State Government,Secondary,,"1 Asemota Street, Alaba Oro Amukoko Lagos",3.32809,6.46493,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Not Applicable,Not Applicable,,,,25
58384780,24/02/1/2/2/0031,,,,Lord Overcomers Clinic,Lagos,Ajeromi/Ifelodun,Private,,Secondary,,,3.34008789100005,6.47167968700006,,,,,,Operational,Unknown,Unknown,,,,
33785907,24/02/1/1/1/0006,,,,Opeyemi Convalescent Home,Lagos,Ajeromi/Ifelodun,Public,,Primary,,,,,,,,,,Operational,Unknown,Unknown,,,,
67735740,24/02/1/1/2/0012,,,,Gogoro Convalescent Home,Lagos,Ajeromi/Ifelodun,Private,,Primary,,,3.34887695300006,6.45251464800003,,,,,,Operational,Unknown,Unknown,,,,
25838226,24/02/1/1/2/0015,,,,Immaculate Maternity Home,Lagos,Ajeromi/Ifelodun,Private,,Primary,,,,,7030415267,,,,,Operational,Unknown,Unknown,,,,
30381582,24/02/1/2/2/0066,,,2016-12-27,Chinex Maternity Home,Lagos,Ajeromi/Ifelodun,Private,For Profit,Primary,,,3.35391,6.46190,0080-340-4658,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,,4
41108319,24/02/1/2/2/0030,,BN 2650386,1979-06-10,Living Word Maternity Home,Lagos,Ajeromi/Ifelodun,Private,For Profit,Secondary,,,3.34847,6.45063,0803-454-0001,lami4real200@yahoo.com,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24hrs,Operational,Registered,Licensed,2,0,2,5
,,,,,,,,,,,,,,,,,,,,,,,,,,
73181460,24/02/1/1/2/0022,,,,Obisesan Naval Hospital,Lagos,Ajeromi/Ifelodun,Private,,Primary,,,3.35449218700006,6.45867919900007,,,,,,Operational,Unknown,Unknown,,,,
38858244,24/02/1/1/2/0027,,H,2014-09-22,Ronke Awoye Nursing & Maternity,Lagos,Ajeromi/Ifelodun,Private,For Profit,Primary,Primary Health Clinic,,3.35493,6.46282,0080-334-3323,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",24HRS,Operational,Registered,Licensed,1,1,1,
72929430,24/02/1/2/2/0040,,,2006-09-06,Saint Milla Hospital,Lagos,Ajeromi/Ifelodun,Private,For Profit,Secondary,,,3.35168457000003,6.46051025400004,,,,,,Operational,Unknown,Unknown,,,,
52004444,24/02/1/1/1/0067,,,,Stay-Alive Clinic,Lagos,Ajeromi/Ifelodun,Public,,Primary,,,,,,,,,,Operational,Unknown,Unknown,,,,
