facility_uid,start_date,facility_name,state,lga,ownership,ownership_type,facility_level,physical_location,longitude,latitude,phone_number,operation_days,registration_status,license_status
67130635,2012-01-17,UPWARD HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
45326923,2012-01-01,CHRIST CITY OF PEACE MATERNITY,Lagos,Alimosho,Private,For Profit,Primary,"4, YISA BELLO CLOSE, EGBEDA",3.29572,6.60161,0803-308-3579,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
56134916,2017-03-10,MERCY GATE HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"24,OGUNLANA STREET EGBEDA",3.29396,6.59737,0803-354-3684,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
76810202,2023-01-18,NEW HOLY MARY CLINIC,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
87082246,2019-05-01,OYEYEMI ROYAL HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"8, ALHAJI RASAK STREET , EGBEDA",,,0802-380-8022,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
26142080,2011-01-12,OLUTOBA CLINIC,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
67077051,2003-01-01,PRINCE AND PRINCESS HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"1ST AVENUE, 12TH ROAD, GOWON ESTATE, EGBEDA",3.28607,6.60491,0802-313-2291,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
26338962,2010-01-01,BOB SPECIALIST HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"22, OLUGBEDE STREET, EGBEDA",3.29129,6.58863,0708-695-9966,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
71257333,2011-01-01,EPHRAH MEDICAL CLINIC,Lagos,Alimosho,Private,For Profit,Primary,"288, IKOTUN ROAD, IDIMU",3.28381,6.57054,0802-855-2520,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
39390582,2017-01-06,AFONJA HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"5, OLU ODUSUSI STREET, IGANDO",3.26381,6.54362,0806-068-5091,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
17744776,2014-06-06,B-ROCK CONVALESCENT HOME,Lagos,Alimosho,Private,For Profit,Primary,"3, OLAIYA STREET, OFF IGANDO ROAD, MOSHALASHI",3.25834,6.53196,0802-309-0821,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
57880665,2014-09-08,BLUE BELL HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"9, INDEPENDENCE DRIVE, OFF AROWOJOBE STREET, IGANDO",3.38026,6.45862,0802-351-3345,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
41113787,2011-01-18,CONFIDENCE CARE CLINIC AND MATERNITY,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
52015202,2018-06-15,DE REAL EAGLES HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"141, IKOTUN IGANDO ROAD KWARA BUSSTOP IKOTUN",3.25391,6.55215,0806-396-4196,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
21701762,2001-07-07,FRANK CITY HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"27, AKINYEMI STREET, IGANDO",3.23854,6.55075,0706-476-3699,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
53834147,2009-09-03,JIMSON HEALTHCARE CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"5, ALAO ABEJIDE STREET, IGANDO",3.22576,6.53262,0803-401-7637,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
84730652,2009-10-04,OGUNMODEDE MEMORIAL HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"12. ASABI OLOYEDE STREET, IKOTUN-IGANDO ROAD, IGANDO",3.26191,6.54978,0803-328-2483,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
78575988,1998-07-07,PRIMEX HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"56, IGANDO ROAD, UNITY IKOTUN",3.26084,6.54881,0803-320-1180,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
22958229,2007-06-10,DATAM CONVALESCENT HOME,Lagos,Alimosho,Private,For Profit,Primary,"17, IFELODUN STREET, COMMUNITY ROAD, IJEGUN",3.25017,6.52055,0803-350-7740,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
34413231,2018-04-01,FANIYET HOSPITL,Lagos,Alimosho,Private,For Profit,Primary,"18/20, ADEDOYIN STREET, OFF AGABI STREET,IKOTUN IJEGUN",3.25392,6.52333,0802-322-1153,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
32568793,2012-09-04,FOUNTAIN HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"123, ISOLO ROAD, IJEGUN",3.26816,6.54632,0806-019-6690,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
62925546,2023-01-18,IJEGUN  PRIMARY HEALTH CENTRE,Lagos,Alimosho,Public,State Government,Primary,"28, KUDEBUYI STREET IJEGUN",3.15422,6.3051,,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
68592454,2006-01-01,MAC - TOYE HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"205, IJEGUN ROAD, IKOTUN",3.25916,6.52872,0803-713-3844,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
55489644,1997-01-05,MACILAND MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"51, PAPA MAJOR BUS STOP, IJEGUN",3.36152,6.54336,8037254485,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
66054125,2017-01-23,ADEBAYO SPECIALIST HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"14,AJENIFUJA STREET BAMSHAK BUS STOP IKOTUN",3.25832,6.56851,0803-351-1790,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
13780317,1998-01-05,BLESSED MARY AND MATERNITY HOME,Lagos,Alimosho,Private,For Profit,Primary,"11, OKESALU STREET, IKOTUN",3.26805,6.54769,0813-429-7882,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
34177305,2012-01-17,DIVINE HANDS NURSING HOME,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
36323476,2000-10-06,EMMANUELLE CLINIC,Lagos,Alimosho,Private,For Profit,Primary,"22, IDIMU ROAD, BEHIND BRT, IKOTUN",3.24681,6.55381,0805-562-5863,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
63424076,2019-09-02,FAITH REAL MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"2, ODUOLA OGUNRINDE AVENUE, OFF GOVERNOR'S ROAD, IKOTUN",3.25844,6.56988,0803-909-0164,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
75705614,1995-04-03,IKOTUN PRIMARY HEALTH CENTRE,Lagos,Alimosho,Public,Local Government,Primary,"IKOTUN ROAD, BESIDE IKOTUN-IGANDO LCDA, IKOTUN",3.26913,6.55228,0803-631-6777,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
30579571,2009-01-01,UNITA HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"63, ODUDUWA STREET, OFF GOVERNOR'S ROAD, IKOTUN",3.26428,6.55609,0803-382-8172,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
56368509,2008-01-02,AGAPE MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"15, OGUNBIYI ILO STREET, OLUDE, IPAJA",3.2583,6.60711,0802-303-9306,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
65555307,1999-01-01,ISHERI OLOFIN PRIMARY HEALTH CENTRE,Lagos,Alimosho,Public,Local Government,Primary,"16, LASU ROAD, ISHERI OLOFIN ROUNDABOUT",3.28071,6.57671,0803-405-9699,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
78226802,2002-03-05,JYMTOP HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"24, AROBABA STREET, PIPELINE BUS STOP, IDIMU",3.28955,6.57769,0803-322-3904,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
50833281,2012-03-08,LOTA MEDICAL CLINIC,Lagos,Alimosho,Private,For Profit,Primary,"1, IBIJOKE OKE STREET, IKOTUN",3.27159,6.57173,0802-315-2181,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
52542928,2008-06-04,MARY MEDI NURSING HOME,Lagos,Alimosho,Private,For Profit,Primary,"23, LATOLS STREET, GOVERNOR'S ROAD, IKOTUN",3.26127,6.56866,0813-416-1842,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
18708711,2012-01-01,SUBOL HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"16/17 OBA AMUSA AVENUE, COUNCIL IDIMU",3.27449,6.56599,0803-344-5559,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
69067626,2001-01-06,DAVESTAR HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"1 ADEWUNMI STREET, ISHERI OSHUN",3.26813,6.54381,0803-396-2266,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
53628426,2012-01-06,ISHERI-OSUN PRIMARY HEALTH CENTRE,Lagos,Alimosho,Public,Local Government,Primary,"1, LIADI DISU STREET, ISHERI-OSHUN",3.27931,6.51346,0805-513-9851,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
48028066,2002-02-04,MORLAD HOSPITAL AND MATERNITY HOME,Lagos,Alimosho,Private,For Profit,Primary,"1, MAKINDE STREET, BABALEGBA BUS STOP, IKOTUN",3.26282,6.53891,0802-329-2412,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
35691977,1997-01-01,AKINOGUN PRIMARY HEALTH CENTRE,Lagos,Alimosho,Public,Local Government,Primary,"33, BALOGUN LADEGA STREET, AKINOGUN",3.28456,6.60957,0803-322-7909,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
15075514,2000-01-01,KOKUMO PRIMARY HEALTH CENTER,Lagos,Alimosho,Public,Local Government,Primary,"11, KOKUMO STREET, IYANAPAJA",3.29417,6.61208,0802-845-5893,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
51491421,2019-01-01,WINSLOW MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"PLOT 45, TOWN PLANNING WAY, SHAGARI ESTATE, MOSAN",3.27427,6.60689,0813-407-5678,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
30862412,2021-01-02,WINSLOW MEDICAL HOSTITAL,Lagos,Alimosho,Private,For Profit,Secondary,"45,TOWN PLANNING WAY",3.31089,6.12456,0818-308-3206,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
65643470,2017-03-17,BIEN SANTE HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"9,ALAKA STREET ISHERI OLOFIN",3.30121,6.58468,0813-717-5693,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
32042418,2012-01-01,ROYAL SALVATION HOSPITAL,Lagos,Alimosho,Private,For Profit,Secondary,"7/9, MARQUIS STREET, SHASHA",3.30671,6.59109,0806-005-8997,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
61248507,2000-10-01,SHASHA MEDICAL CLINIC,Lagos,Alimosho,Private,For Profit,Primary,"15, OLA OYEBOLA STREET, SHASHA",3.30614,6.58709,0802-308-5382,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
17060754,2019-01-28,TENDER TOUCH HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"12, EJIGBO ROAD, SHASHA",3.30374,6.57048,0806-687-5209,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
82798349,2012-01-01,LEKE MEMORIAL HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"8, OGUNJOBI STREET, PLEASURE, OKEODO",3.29778,6.63174,0802-321-5038,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
76509946,2010-01-04,OAR MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"18, MUSA EROMON STREET, OKEODO",3.29406,6.64238,0803-862-8376,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
23194414,2021-01-11,RJ ADVANCED MEDICAL CARE HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"80, OLD OTTA ROAD, EKORO JUNCTION, OFF ILE EPO OKEODO",3.29235,6.64074,0814-617-2509,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
67282604,2010-01-01,GOD'S TIME MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"13, ADURAPE STREET, OFF IGE, ABULE OKI",3.29618,6.61727,0812-232-2040,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
66174744,2000-01-01,OKI PRIMARY HEALTH CARE CENTRE,Lagos,Alimosho,Public,Local Government,Primary,"3, IPERU AKESAN STREET, ABULE OKI",3.29579,6.61526,0803-322-7909,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
16811396,2010-01-10,ROYAL CASTLE MATERNITY HOME,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
80404749,2014-01-01,ST. ALEXANDER HOSPITAL,Lagos,Alimosho,Private,For Profit,Primary,"5, DADA CLOSE, ALAGUNTAN",3.29628,6.61446,0802-308-5594,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
26897606,2004-01-01,ZENITH MEDICAL CENTRE,Lagos,Alimosho,Private,For Profit,Primary,"1, ADEYEFA STREET, IYANA IPAJA",3.29746,6.62293,0805-631-6263,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
78834688,2001-01-28,ALALADE MEMORIAL HOSPITAL(SANTOS),Lagos,Alimosho,Private,For Profit,Secondary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
35084453,2006-01-09,CHRIST THE KING MEDICAL CLIINIC,Lagos,Alimosho,Private,For Profit,Primary,,,,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Licensed
66264205,2019-02-28,BONNE SANTE HOSPITAL - ONIREKE,Lagos,Amuwo Odofin,Private,For Profit,Primary,"12, ALHAJI SULEMAN STREET, OPP OJO CANTONEMENT",3.22908,6.45891,8023194613,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
44208787,2017-01-02,EMMANUELLA NURSING HOME,Lagos,Amuwo Odofin,Private,For Profit,Primary,PLOT 3367.JEGEDE FADUSIN PRAYER ESTATE,3.31415,6.4863,0802-331-8429,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
79528039,2013-12-31,HOUSEHOLD MEDICAL CENTRE HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"68,MUWO ROAD, TEDDI",3.22147,6.44614,0703-441-2220,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
68434599,2021-02-06,BIOBELLA PUBLIC HEALTH CENTRE,Lagos,Amuwo Odofin,Private,For Profit,Secondary,ZONE 2 OMONILE BUS STOP BY LAKEVIEW SMALL GATE,3.2480998,6.4708764,0906-617-0337,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",,Licensed
18870864,2012-12-31,BOLA AHMED TINUBU PRIMARY HEALTH CENTRE,Lagos,Amuwo Odofin,Public,Local Government,Primary,OBA PALACE ROAD SOBA,3.25864,6.46248,,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
24311597,2019-02-01,BONNE SANTE HOSPITAL 2,Lagos,Amuwo Odofin,Private,For Profit,Primary,"HOUSE 2, ROAD 1, ZONE 8,OTEYI GARDEN ESTATE, ABULE ODO",3.24568,6.47516,0802-319-4613,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
47442795,2012-12-31,CITY OF DAVIDSON HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"72, ROAD E CLOSE HOUSE 7 FESTAC",3.27175,6.47229,0802-389-5875,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
57024059,2013-12-31,OYERONKE MEMORIAL MATERNITY CENTRE,Lagos,Amuwo Odofin,Private,For Profit,Primary,"ELYA WORAH ROAD ,SOBA",3.25734,6.46391,0803-419-8724,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
28520287,2009-11-30,AGBOJU PRIMARY HEALTH CENTRE,Lagos,Amuwo Odofin,Public,Local Government,Primary,"130,OLD OJO ROAD ,AGBOJU",3.29121,6.458924,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
21798450,2016-12-31,EL BETHEL HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"323, OLD OJO ROAD ,OLUTI",3.2764,6.4568,0802-310-2646,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
71829331,2017-12-31,GOLDEN CARE MEDICAL CENTRE,Lagos,Amuwo Odofin,Private,For Profit,Primary,"88, OLD OJO ROAD, AGBOJU",3.29561,6.45861,0803-409-0528,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
60045106,2022-01-02,LIFESPRING MATERNITY,Lagos,Amuwo Odofin,Private,For Profit,Primary,,3.31199,6.47483,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
45119809,1996-01-06,AMC HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"PLOT 343, HOUSE 19,DURBAR ROAD, MILE 2",3.31399,6.46563,0802-312-6968,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
19739073,2012-12-31,CHOSEN MISSION HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"10, ODOFIN PARK ESTATE IJESHA",3.32101,6.49487,0803-053-7354,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
22674056,2021-04-10,GREEN LIFE HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Secondary,,3.31245,6.46605,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
54735503,2013-12-31,KINGSWILL SPECIALIST HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Secondary,"3,AYINUOLA CLOSE APPLE JUNCTION",3.31164,6.47089,0803-335-8714,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
52515110,2005-12-31,MILE 2 PRIMARY HEALTH CENTRE,Lagos,Amuwo Odofin,Public,Local Government,Primary,"DURBAR ROAD, NEPA''S OFFICE MILE 2",3.31753,6.46616,0816-778-6616,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
27762408,2016-12-31,PANOX HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"4, RAJI RASAKI ESTATE AMUWO",3.30463,6.47085,0803-323-5616,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
57080099,2010-12-31,SAFE HAND MEDICAL CENTRE,Lagos,Amuwo Odofin,Private,For Profit,Secondary,"26, AKIN MATEOLA STREET. GOLDEN ESTATE",3.30719,6.47374,0803-308-8278,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
69928674,2021-02-04,KINGSWILL SPECIALIST HOSPITAL ( ANNEX),Lagos,Amuwo Odofin,Private,For Profit,Secondary,"FESTAC ACCESS ROAD,AMUWO ODOFIN ESTATE 102/102,LAGOS",3.31199,6.47098,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
51682773,2013-04-07,NEBS CLINIC AND HEALTH CARE SERVICE,Lagos,Amuwo Odofin,Private,For Profit,Primary,"PARLIAMENT ROAD,AMUWO ODOFIN ESTATE 102,LAGOS .NIGERIA",3.31778,6.46645,,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
28033540,2013-12-31,PENTECOST CLINIC,Lagos,Amuwo Odofin,Private,For Profit,Primary,"21 ROAD JUNCTION, FESTAC TOWN",3.29288,6.47026,0145-356-84__,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
33532234,2005-01-01,RABBONI SPECIALIST HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Secondary,"3RD AVENUE, D CLOSE, FESTAC TOWN, AMUWO",3.29206,6.46351,0806-289-7950,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
12949872,2011-12-31,SELCY CLINIC,Lagos,Amuwo Odofin,Private,For Profit,Primary,"2ND AVENUE 207 RD,HOUSE 3 FESTAC",3.28438,6.4637,8078676543,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
82315307,2015-12-31,ARCHANGELS HOSPITAL,Lagos,Amuwo Odofin,Private,For Profit,Primary,"1, MISSION STREET, SATELLITE TOWN",3.25764,6.45288,,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
62798830,2002-01-01,BENGOZ MATERNITY HOME,Lagos,Amuwo Odofin,Private,For Profit,Primary,"23, ADEOSHODI STREET, IJEGUN SATELITE",3.326617,6.44193,0803-370-8356,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
86942927,2014-12-31,DE - UZOMA CLINIC,Lagos,Amuwo Odofin,Private,For Profit,Primary,"9, MAYEGUN STREET, IJEGUN",3.263671875,6.44128418,0802-320-5486,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Registered,Licensed
36298941,2017-11-14,GLAD HEART SPECIALIST CLINIC,Lagos,Amuwo Odofin,Private,For Profit,Primary,"NITEL ESTATE PHASE 2,SATELLITE TOWN",3.25898,6.4053,0818-109-8323,"Monday,Tuesday,Wednesday,Thursday,Friday",Registered,Licensed
